LURN_SAK,Incident Date,Incident Reported Date,Category,Stat Code,Stat Code Desc,Address,Street,City,Zip,Incident ID,Reporting District,Sequential (per Station),Gang Related,Unit ID,Unit Name,Longitude,Latitude,Part Category,OBJECTID,x,y
20381384,11/8/2023 11:30:00 AM,11/8/2023 12:00:00 AM,LARCENY THEFT,340,VEHICLE BURGLARY: Auto/Passenger Van Burglary,"600 W ARROW HWY, SAN DIMAS, CA 91773",600 W ARROW HWY,SAN DIMAS,91773,923-04860-0814,814,4860,NO,CA0190008,SAN DIMAS,-117.8171306,34.10388183,1,8679,-13115342.98,4042759.362
20382104,10/31/2023 10:00:00 PM,11/9/2023 12:00:00 AM,BURGLARY,77,"BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","3600 SAN GABRIEL RIVER PKWY, PICO RIVERA, CA 90660",3600 SAN GABRIEL RIVER PKWY,PICO RIVERA,90660,923-06564-1580,1580,6564,NO,CA0190015,PICO RIVERA,-118.0578522,34.01275686,1,8680,-13142139.99,4030515.09
20391494,11/21/2023 3:45:00 PM,11/21/2023 12:00:00 AM,BURGLARY,64,"BURGLARY, RESIDENCE: Day, Entry By Force","21100 E VIA VERDE ST, COVINA, CA 91724",21100 E VIA VERDE ST,COVINA,91724,923-05073-0872,872,5073,NO,CA0190008,SAN DIMAS,-117.8430282,34.06912863,1,8681,-13118225.89,4038088.093
20382553,11/9/2023 7:00:00 PM,11/9/2023 12:00:00 AM,LARCENY THEFT,85,GRAND THEFT: Auto Parts And Accessories,"9500 BEVERLY BLVD, PICO RIVERA, CA 90660",9500 BEVERLY BLVD,PICO RIVERA,90660,923-06571-1517,1517,6571,NO,CA0190015,PICO RIVERA,-118.0720094,34.00700164,1,8682,-13143715.96,4029742.214
20387538,11/16/2023 1:00:00 PM,11/16/2023 12:00:00 AM,ROBBERY,32,"ROBBERY, WEAPON: Store, Business, Hotel, Motel, Etc.","10900 ALAMEDA ST, LOS ANGELES, CA",10900 ALAMEDA ST,LOS ANGELES,,023-16606-2135,2135,16606,NO,CA01900V3,CENTURY,-118.2259952,33.93500671,1,8683,-13160857.59,4020078.35
20185203,3/24/2023 8:17:16 AM,3/24/2023 12:00:00 AM,GRAND THEFT AUTO,93,"GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","2100 N KALSMAN AVE, COMPTON, CA",2100 N KALSMAN AVE,COMPTON,,923-03913-2812,2812,3913,NO,CA0190042,COMPTON,-118.2487386,33.91205693,1,8684,-13163389.37,4016999.525
20127793,1/13/2023 11:24:24 PM,1/13/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"5800 TELEGRAPH, COMMERCE, CA",5800 TELEGRAPH,COMMERCE,,923-00636-0245,245,636,NO,CA0190002,EAST LOS ANGELES,-118.1500708,34.00196791,1,8685,-13152405.72,4029066.272
20215861,5/1/2023 11:59:00 AM,5/1/2023 12:00:00 AM,LARCENY THEFT,83,"GRAND THEFT: Shoplifting (From Dept Store, Mkt Gas Sta)","21600 VALLEY BLVD, INDUSTRY, CA 91745",21600 VALLEY BLVD,INDUSTRY,91745,923-04521-1419,1419,4521,NO,CA0190014,INDUSTRY,-117.8342731,34.02685588,1,8686,-13117251.28,4032408.685
20218473,5/2/2023 6:06:00 AM,5/3/2023 12:00:00 AM,FRAUD AND NSF CHECKS,112,FRAUD: Fraud By False Pretenses,"2100 MERCED AVE, S EL MONTE, CA 91733",2100 MERCED AVE,S EL MONTE,91733,923-04746-0560,560,4746,NO,CA0190005,TEMPLE,-118.0510119,34.05184209,2,8687,-13141378.53,4035765.278
20204105,4/16/2023 12:30:00 PM,4/16/2023 12:00:00 AM,GRAND THEFT AUTO,91,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van,"16000 PIONEER BLVD, NORWALK, CA 90650",16000 PIONEER BLVD,NORWALK,90650,923-04514-0455,455,4514,NO,CA0190004,NORWALK,-118.0824411,33.88499285,1,8688,-13144877.22,4013369.809
